_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
670563543b43e6c05da34db8,,160.54,100,160.54,80.59,49;0;0;0,words,10,-1,3,3.66,0,4.15,false,false,english,none,normal,false,false,false,,1728406356000
670563493b43e6c05da34ce6,,178.04,100,178.04,72.62,51;0;0;0,words,10,-1,1,3.44,0,1.49,false,false,english,none,normal,false,false,false,,1728406345000
670563423b43e6c05da34c64,,121.98,96.49,121.98,63.17,55;0;0;0,words,10,-1,2,5.41,0,2.29,false,false,english,none,normal,false,false,false,,1728406338000
670563373b43e6c05da34ba2,,161.9,100,161.9,77.99,47;0;0;0,words,10,-1,4,3.48,0,2.54,false,false,english,none,normal,false,false,false,,1728406327000
670563293b43e6c05da34a6a,,127.18,94,127.18,63.68,47;0;0;0,words,10,-1,3,4.43,0,3.35,false,false,english,none,normal,false,false,false,,1728406313000
6705631e3b43e6c05da34969,,154.24,100,154.24,62,53;0;0;0,words,10,-1,7,4.12,0,6.71,false,false,english,none,normal,false,false,false,,1728406302000
670563093b43e6c05da347ee,,137.52,100,137.52,85.99,52;0;0;0,words,10,-1,1,4.54,0,0.73,false,false,english,none,normal,false,false,false,,1728406281000
670563023b43e6c05da34775,,143.5,98.31,143.5,74.45,58;0;0;0,words,10,-1,2,4.85,0,1.55,false,false,english,none,normal,false,false,false,,1728406274000
670562f93b43e6c05da346bf,,167.63,100,167.63,80.46,48;0;0;0,words,10,-1,0,3.44,0,0,false,false,english,none,normal,false,false,false,,1728406265000
670562f53b43e6c05da3467a,,138.91,100,138.91,82.29,43;0;0;0,words,10,-1,2,3.71,0,2.37,false,false,english,none,normal,false,false,false,,1728406261000
670560f23b43e6c05da31ffd,,156,95.92,156,87.17,47;0;0;0,words,10,-1,2,3.62,0,1.64,false,false,english,none,normal,false,false,false,,1728405746000
670560ea3b43e6c05da31f4f,,154.42,97.67,154.42,59.81,42;0;0;0,words,10,-1,8,3.26,0,13.33,false,false,english,none,normal,false,false,false,,1728405738000
670560c83b43e6c05da31ca5,,195,100,195,87.25,48;0;0;0,words,10,-1,2,2.95,0,2.19,false,false,english,none,normal,false,false,false,,1728405704000
670547d13b43e6c05da13d32,,187.6,100,187.6,83.12,46;0;0;0,words,10,-1,0,2.94,0,0,false,false,english,none,normal,false,false,false,,1728399313000
670547cd3b43e6c05da13cf0,,163.12,100,163.12,58.1,46;0;0;0,words,10,-1,0,3.38,0,0,false,false,english,none,normal,false,false,false,,1728399309000
670547b63b43e6c05da13b41,,146.83,94.74,170.8,81.79,49;2;0;0,words,10,-1,12,4,0,23.82,false,false,english,none,normal,false,false,false,,1728399286000
6704742e3b43e6c05d97af28,,129.78,96.23,129.78,78.97,51;0;0;0,words,10,-1,2,4.72,0,1.3,false,false,english,none,normal,false,false,false,,1728345134000
670474233b43e6c05d97aee7,,119.39,95.92,119.39,65.63,46;0;0;0,words,10,-1,5,4.62,0,7.67,false,false,english,none,normal,false,false,false,,1728345123000
670428df3b43e6c05d9470f1,,112.75,97.96,112.75,72.32,47;0;0;0,words,10,-1,2,5,0,0.57,false,true,english,none,normal,false,false,false,,1728325855000
670428733b43e6c05d9469a0,true,152.08,100,152.08,73.45,58;0;0;0,words,10,-1,1,4.58,0,1.65,true,true,english,none,normal,false,false,false,,1728325747000
670428453b43e6c05d946666,true,200.34,100,200.34,94.21,49;0;0;0,words,10,-1,10,2.94,0,14.35,false,true,english,none,normal,false,false,false,,1728325701000
670428043b43e6c05d9461fe,,201.74,100,201.74,94.69,48;0;0;0,words,10,-1,9,2.86,0,10.75,false,false,english,none,normal,false,false,false,,1728325636000
